"","x"
"1",62.59999847
"2",62.5
"3",63.20000076
"4",63.90000153
"5",64.19999695
"6",64.69999695
"7",65.40000153
"8",67.40000153
"9",68.69999695
"10",69.40000153
"11",70.59999847
"12",71.5
"13",71.80000305
"14",72.80000305
"15",73.80000305
"16",74.40000153
"17",75.19999695
"18",75.90000153
"19",76.19999695
"20",76.80000305
"21",78
"22",76.5
"23",78
"24",79.5
"25",80.59999847
"26",80.80000305
"27",82
"28",81.80000305
